chunkId,content,heading,originalLanguageChunk,StartPage,EndPage,originalLanguageHeading,ContentWordCount,pdfName,contentType,image,summary
48," Varieties requiring low inputsand resistant to insect pest and diseases are suitable for organic cultivation.  Optimum seed rate for nursery raising of basmati rice is 25 kg/ ha and the appropriate time for transplanting of basmati rice is first week of July. Normally 25 day old seedlings should be transplanted in well puddled field at row to row /plant to plant distance of 20 and 15 cm, respectively.  As nutrient management well rotten FYM @ 7.5 t/ha should be incorporated into the soil at least 20 days before puddling. Vermicompost @ 3.5 t/ ha should be top dressed before second irrigation. Biofertilizers like *Azotobactor* (nitrogen fixer) and Phosphorus Solublizing Bacteria (PSB) each should be added @10 kg/ha in soil after final land preparation.  Depending upon the requirement of the crop and rains during the growing season 8-10 irrigations (5 cm water/ irrigation) should be applied intermittently.  To control the weeds effectively in basmati rice, field should be well puddled and weeds can be controlled in standing crop by two handweeding at 20 days interval.  For effective plant protection against seed borne diseases, seeds should be given solar treatment for 2-3 hours during May-June.",Package Of Practices Of Different Crops Recommended For Organic Farming Basmati Rice,,,,,199,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,
48,"For soil borne diseases, seedling should be treated with Pseudomonas fluorescence @ 4 kg/ha*&Trichodermaharzianum*@ 5 kg/ha. Foliar application of garlic + green chillies paste (1:1) @10 kg/hacan be made againstgundhi bug. The stem borer and leaf folder can be controlled effectively by applyingTricho-cards *(Tricogrammajaponicum*) @ 30 cards/ha 3-4 times.Foliar spray of *Pseudomonas fluorescence* at dough stage for sheath blight.",Package Of Practices Of Different Crops Recommended For Organic Farming Basmati Rice,,,,,59,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,
39, Low input requiring and resistant varieties to insect pest and diseases are suitable for organic cultivation.  Optimum seed rate for timely sown irrigated wheat is 100 kg/ha. Organically certified seed should be preferred for sowing. Wheat should be sown optimally up to second week of November keepingrow to row 20 cm and plant to plant 5 cm distance.,Wheat,,,,,60,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,
40," For nutrient management applywell rotten FYM @ 12.0 t/ha at least 20 days before sowing and vermicompost @ 6.0 t/ha as top dressing before second irrigation.Biofertilizers like*Azotobactor* (nitrogen fixer) and Phosphorus Solublizing Bacteria (PSB) are to be added @10 kg/ ha in soil after final land preparation.  For higher yield six irrigations should be given at critical crop growth stages of wheat.                       Depending upon the severity,weeds can be managed by 2-3 manual intercultural operations.  For Plant protection, growing of resistant varieties and hot water treatment of seed for loose smut are effective measures.  As an addition to organic manures, green manuring of *Sesbania* can be taken up during summer months. After *Rabi* season, *Sesbania* can be sown during second fortnight of April, after harvesting of wheat.  Sowing of *Sesbania* should be done by broadcasting seeds @ 20 kg/ ha in ploughed field followed by irrigation.  Besides the irrigation after sowing, 2-3 irrigation is sufficient for getting proper biomass.  Plough down 50-55 days old crop into soil around 20 days before sowing of *Kharif* crops.",Wheat,,,,,182,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,
41," Barley can be sown optimally up to first week of November. Optimum seed rate for sowing barley is 80 kg/ha. For sowing of barley, row to row 20 cm and plant to plant 5 cm distance should be maintained.  As nutrient management, well rotten FYM @ 8.0 t/ha should be incorporated into the soil at least 20 days before puddling. Vermicompost @ 4.0 t/ ha is top dressed before second irrigation.Biofertilizers like *Azotobactor* (nitrogen fixer) and Phosphorus Solublizing Bacteria (PSB) should be applied each @10 kg/ha in soil after final land preparation.  Crop should be irrigated at critical crop growth stages. Three irrigations including pre-sowing irrigations are sufficient for raising barley intercrops.  Weeds in barley managed by two manual intercultural operations depending upon the severity of weeds.  For control of covered smut certified seeds should be used.",Barley,,,,,142,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,
42," Optimum sowing time of maize is first week of July. To escape water logging maize should be sown on ridges in ridge & furrow system of sowing. Organically certified seed @ 20 kg/ha should be preferred for sowing by keeping a row to row 60 cm and plant to plant 20 cm distance.  For nutrient management, well rotten FYM @ 8.0 t/ha should be incorporated into the soil at least 20 days before sowing. Vermicompost @ 4.0 t/ ha is to be top dressed before second irrigation. Biofertilizers like *Azotobactor* (nitrogen fixer) and Phosphorus Solublizing Bacteria (PSB) each of are added @10 kg/ha in soil after final land preparation.  Depending upon the amount and frequency of rains during the growing season 3-4 irrigations are sufficient.       Maize being widely spaced crop, weeds can be managed by 1-2 manual intercultural operations.  As plant protectionmasure,field release of Tricho-cards (Tricogrammachilonis) @ 30 cards/ha 3-4 times would be effective against stem borer.",Maize,,,,,162,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,
43," Low input requiring and resistant varieties to insect pest and diseasesshould be preferred for organic cultivation.  Optimum sowing time of potato is up to last week of October. Organically certified tuber @ 30 q/ha should be preferred for sowing by keeping row to row 60 cm and plant to plant 20 cm distance.  For nutrient management, apply well rotten FYM @ 14.0 t/ha in soil at least 20 days before planting. Vermicompost @ 7.0 t/ha is top dressed before second irrigation. Biofertilizers like Azotobactor (nitrogen fixer) and Phosphorus Solublizing Bacteria (PSB) each of are added @10 kg/ha in soil after final land preparation.  Potato can be successfully raised by applying five irrigations besides pre-sowing irrigation.  Weeds under organic cultivation of potato can be easily managed by two manual weedings.  Grow resistant varieties andtimely sowing to avoid early blightare few effective plant protection measures.",Potato,,,,,149,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,
44," Optimum sowing time of okra is second week of March, organically certified seed @ 18 kg/ hashould be preferred for sowing by keeping Row to row 45 cm and plant to plant 30 cm distance.  For nutrient management, well rotten FYM @ 8.0 t/ha should be incorporated into the soil at least 20 days before planting. Vermicompost @ 4.0 t/ ha is to be top dressed before second irrigation. Biofertilizers like *Azotobactor* (nitrogen fixer) and Phosphorus Solublizing Bacteria (PSB) each of are added @10 kg/ha in soil after final land preparation.  During the whole growing season, 10-11 irrigations will be sufficient for raising a successful crop of okra.   Depending upon the severity of weeds, weeds are managed by 2-3 manual weedings.  For plant protection, growing of resistant varieties and spraying of neem based products can be effective.",Okra,,,,,142,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,
45," Mustard can be sown optimally up to second week of October. Optimum seed rate for sowing mustard whould be 4 kg/ha. Organically certified seed should be preferred for sowing on ridges made 45 cm apart keeping plant to plant spacing of 10 cm.  For nutrient management apply well rotten FYM @ 6.0 t/ha in soil at least 20 days before sowing. Vermicompost @ 2.0 t/ ha is to be top dressed before second irrigation. Biofertilizers like Azotobactor (nitrogen fixer) and Phosphorus Solublizing Bacteria (PSB) each of are added @10 kg/ha in soil after final land preparation.  Including pre-sowing irrigation, three irrigations are sufficient for raising mustard.  Mustard is a smothering crop for weeds. However, early flush of weeds can be easily managed by one manual weeding.  As plant protection measures, early/timely sowing of mustard to avoid white rust and sprayingneem based insecticides for mustard aphid are quite effective.",Mustard,,,,,153,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,
46,"In the backdrop of various reported benefits, there is a greater need to undertake basic and applied research on organic farming. The inputs from agronomists, soil scientists, microbiologists, plant pathologists, entomologists and environmentalists would be highly critical.  Some identified research thrusts are as follows-",Future Research Thrust,,,,,44,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,
47," Developing innovative crop management practices and quantify detailed nutrient budgets and soil quality improvement indicators (carbon sequestration, dehydrogenase activity, microbial biomass C and N) in major organic-based cropping systems.  Understanding nutrient release pattern of different organic sources alone and in combination and developing relationship between the crop nutrient demand and supply dynamics.  Screening of crop varieties suitable for growing under organic management.  Development and assessment of bio-agents and bio-pesticide for effective control of inset, pest and diseases of organic-based cropping systems.  Working out the quality, nature and extent of locally available organic manurial resources and the extent that they could replace the chemical fertilizers.  Evaluation of the sustained returns on long term basis through combinations of organic and inorganic sources in different soil types, crops and cropping systems.  Developing simple and reliable techniques to measure and monitor the dynamic interrelationship amongst nutrient management, systems, production and soil water.  The critical values of soil organic matter that can support the sustainable crop production under organic management have to be worked out.  Complementary cropping systems including intercropping deserve to be perfected under integrated organic farming systems.",Future Research Thrust,,,,,193,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,
48,"The adverse effects of overuse of Green Revolution Technologies have appeared in the form of natural resource degradation which resulted in posing threat to agricultural sustainability and environmental sustainability. Hence, the environmentalists are resorting to promotion of organic farming and present it as a panacea to all the ills of modern farming. Besides, the continuously increasing demand for organic foods has to be met by growing crops under organic farming. Organic agriculture has made credible impact during the past one decade and growing exponentially in India and world over. Among other areas, the Upper Gangetic Plains of India having a fertile soils and irrigation facilities have lot of potential for promotion of organic farming. Keeping the potentials in mind, farmers have started practicing organic farming but at the same time they are facing several constraints. Moreover, under the back drop of the parallel growth of organic farming in the country, there is a need for institutional strengthening to carryout research, education and extension for promoting organic farming in the region. As organic farming is a dynamic practice, research should continuously focus on emerging issues of organic cultivation and bring in improvement in package of practices for important crops.",Conclusion,,,,,198,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,
